After sweep 1 energy=-96.576614  maxlinkdim=4 maxerr=2.26E-07 time=20.406
After sweep 2 energy=-110.59745  maxlinkdim=16 maxerr=1.61E-07 time=1.424
After sweep 3 energy=-117.12517  maxlinkdim=64 maxerr=9.99E-07 time=1.829
After sweep 4 energy=-118.89484  maxlinkdim=233 maxerr=1.00E-06 time=2.907
After sweep 5 energy=-119.17149  maxlinkdim=512 maxerr=5.23E-06 time=8.381
After sweep 6 energy=-119.18659  maxlinkdim=512 maxerr=1.62E-05 time=11.794
After sweep 7 energy=-119.18781  maxlinkdim=512 maxerr=1.76E-05 time=11.753
After sweep 8 energy=-119.18762  maxlinkdim=512 maxerr=1.80E-05 time=11.756
After sweep 9 energy=-119.18805  maxlinkdim=512 maxerr=1.82E-05 time=11.793
After sweep 10 energy=-119.18783  maxlinkdim=512 maxerr=1.81E-05 time=12.023
After sweep 11 energy=-119.18725  maxlinkdim=512 maxerr=1.83E-05 time=12.026
After sweep 12 energy=-119.187805  maxlinkdim=512 maxerr=1.82E-05 time=12.051
After sweep 13 energy=-119.188065  maxlinkdim=512 maxerr=1.81E-05 time=12.517
After sweep 14 energy=-119.18815  maxlinkdim=512 maxerr=1.83E-05 time=11.805
After sweep 15 energy=-119.187805  maxlinkdim=512 maxerr=1.82E-05 time=11.761
After sweep 16 energy=-119.18864  maxlinkdim=512 maxerr=1.82E-05 time=11.745
After sweep 17 energy=-119.18763  maxlinkdim=512 maxerr=1.83E-05 time=11.805
After sweep 18 energy=-119.18773  maxlinkdim=512 maxerr=1.85E-05 time=12.074
After sweep 19 energy=-119.18733  maxlinkdim=512 maxerr=1.82E-05 time=12.093
After sweep 20 energy=-119.18745  maxlinkdim=512 maxerr=1.82E-05 time=12.076
E0 = -119.18745
M = -0.035275936
After sweep 1 energy=-96.48535  maxlinkdim=4 maxerr=2.48E-07 time=1.150
After sweep 2 energy=-110.688805  maxlinkdim=16 maxerr=2.70E-07 time=1.285
After sweep 3 energy=-117.13791  maxlinkdim=64 maxerr=9.95E-07 time=1.978
After sweep 4 energy=-118.893326  maxlinkdim=234 maxerr=1.00E-06 time=2.804
After sweep 5 energy=-119.1719  maxlinkdim=512 maxerr=5.35E-06 time=8.113
After sweep 6 energy=-119.18627  maxlinkdim=512 maxerr=1.61E-05 time=11.803
After sweep 7 energy=-119.18674  maxlinkdim=512 maxerr=1.76E-05 time=11.790
After sweep 8 energy=-119.187256  maxlinkdim=512 maxerr=1.79E-05 time=11.798
After sweep 9 energy=-119.186554  maxlinkdim=512 maxerr=1.81E-05 time=11.851
After sweep 10 energy=-119.18717  maxlinkdim=512 maxerr=1.80E-05 time=12.045
After sweep 11 energy=-119.18682  maxlinkdim=512 maxerr=1.81E-05 time=12.044
After sweep 12 energy=-119.18658  maxlinkdim=512 maxerr=1.82E-05 time=12.024
After sweep 13 energy=-119.1872  maxlinkdim=512 maxerr=1.82E-05 time=12.518
After sweep 14 energy=-119.187164  maxlinkdim=512 maxerr=1.82E-05 time=11.794
After sweep 15 energy=-119.1876  maxlinkdim=512 maxerr=1.81E-05 time=11.781
After sweep 16 energy=-119.18704  maxlinkdim=512 maxerr=1.82E-05 time=11.773
After sweep 17 energy=-119.18688  maxlinkdim=512 maxerr=1.82E-05 time=11.825
After sweep 18 energy=-119.18667  maxlinkdim=512 maxerr=1.83E-05 time=12.061
After sweep 19 energy=-119.186356  maxlinkdim=512 maxerr=1.82E-05 time=12.041
After sweep 20 energy=-119.18685  maxlinkdim=512 maxerr=1.82E-05 time=12.073
E0 = -119.18685
M = -0.037402913
After sweep 1 energy=-96.49922  maxlinkdim=4 maxerr=2.50E-07 time=1.142
After sweep 2 energy=-110.0354  maxlinkdim=16 maxerr=3.34E-07 time=1.213
After sweep 3 energy=-116.69246  maxlinkdim=64 maxerr=9.98E-07 time=1.925
After sweep 4 energy=-118.80954  maxlinkdim=235 maxerr=1.00E-06 time=2.883
After sweep 5 energy=-119.16635  maxlinkdim=512 maxerr=6.21E-06 time=8.074
After sweep 6 energy=-119.18565  maxlinkdim=512 maxerr=1.61E-05 time=11.813
After sweep 7 energy=-119.186966  maxlinkdim=512 maxerr=1.75E-05 time=11.792
