After sweep 1 energy=-510.36472  maxlinkdim=4 maxerr=9.93E-07 time=18.609
After sweep 2 energy=-513.70264  maxlinkdim=9 maxerr=9.92E-07 time=1.057
After sweep 3 energy=-513.79974  maxlinkdim=7 maxerr=9.71E-07 time=1.124
After sweep 4 energy=-513.8153  maxlinkdim=8 maxerr=9.77E-07 time=1.160
After sweep 5 energy=-513.8204  maxlinkdim=8 maxerr=9.98E-07 time=1.115
After sweep 6 energy=-513.8166  maxlinkdim=8 maxerr=9.99E-07 time=1.121
After sweep 7 energy=-513.8152  maxlinkdim=8 maxerr=9.98E-07 time=1.135
After sweep 8 energy=-513.81775  maxlinkdim=8 maxerr=9.98E-07 time=1.160
After sweep 9 energy=-513.8189  maxlinkdim=8 maxerr=1.00E-06 time=1.154
After sweep 10 energy=-513.8191  maxlinkdim=8 maxerr=9.99E-07 time=1.160
After sweep 11 energy=-513.8177  maxlinkdim=8 maxerr=9.99E-07 time=1.166
After sweep 12 energy=-513.82007  maxlinkdim=8 maxerr=1.00E-06 time=1.109
After sweep 13 energy=-513.81964  maxlinkdim=8 maxerr=1.00E-06 time=1.168
After sweep 14 energy=-513.81696  maxlinkdim=8 maxerr=9.98E-07 time=1.179
After sweep 15 energy=-513.8217  maxlinkdim=8 maxerr=1.00E-06 time=1.109
After sweep 16 energy=-513.81696  maxlinkdim=8 maxerr=1.00E-06 time=1.169
After sweep 17 energy=-513.8173  maxlinkdim=8 maxerr=9.99E-07 time=1.180
After sweep 18 energy=-513.8162  maxlinkdim=8 maxerr=1.00E-06 time=1.106
After sweep 19 energy=-513.81995  maxlinkdim=8 maxerr=9.99E-07 time=1.173
After sweep 20 energy=-513.8199  maxlinkdim=8 maxerr=9.99E-07 time=1.183
E0 = -513.8199
M = 0.00042017794
After sweep 1 energy=-512.65594  maxlinkdim=4 maxerr=9.39E-07 time=1.073
After sweep 2 energy=-513.7124  maxlinkdim=6 maxerr=9.94E-07 time=1.252
After sweep 3 energy=-513.798  maxlinkdim=7 maxerr=9.95E-07 time=1.168
After sweep 4 energy=-513.8154  maxlinkdim=8 maxerr=9.89E-07 time=1.235
After sweep 5 energy=-513.82  maxlinkdim=8 maxerr=1.00E-06 time=1.203
After sweep 6 energy=-513.8172  maxlinkdim=8 maxerr=9.95E-07 time=1.220
After sweep 7 energy=-513.81665  maxlinkdim=8 maxerr=9.98E-07 time=1.140
After sweep 8 energy=-513.8207  maxlinkdim=8 maxerr=9.98E-07 time=1.200
After sweep 9 energy=-513.8188  maxlinkdim=8 maxerr=9.99E-07 time=1.205
After sweep 10 energy=-513.81726  maxlinkdim=8 maxerr=9.97E-07 time=1.142
After sweep 11 energy=-513.8203  maxlinkdim=8 maxerr=9.99E-07 time=1.241
After sweep 12 energy=-513.81696  maxlinkdim=8 maxerr=9.99E-07 time=1.154
After sweep 13 energy=-513.81885  maxlinkdim=8 maxerr=9.98E-07 time=1.240
After sweep 14 energy=-513.82117  maxlinkdim=8 maxerr=1.00E-06 time=1.224
After sweep 15 energy=-513.81903  maxlinkdim=8 maxerr=9.98E-07 time=1.142
After sweep 16 energy=-513.82104  maxlinkdim=8 maxerr=9.99E-07 time=1.210
After sweep 17 energy=-513.8193  maxlinkdim=8 maxerr=9.99E-07 time=1.150
After sweep 18 energy=-513.82043  maxlinkdim=8 maxerr=9.99E-07 time=1.215
After sweep 19 energy=-513.81726  maxlinkdim=8 maxerr=9.97E-07 time=1.140
After sweep 20 energy=-513.82117  maxlinkdim=8 maxerr=1.00E-06 time=1.218
E0 = -513.82117
M = -8.049815e-5
After sweep 1 energy=-512.1504  maxlinkdim=4 maxerr=9.92E-07 time=1.103
After sweep 2 energy=-513.7144  maxlinkdim=7 maxerr=9.98E-07 time=1.323
After sweep 3 energy=-513.8016  maxlinkdim=7 maxerr=9.81E-07 time=1.152
After sweep 4 energy=-513.82  maxlinkdim=8 maxerr=9.99E-07 time=1.216
After sweep 5 energy=-513.81903  maxlinkdim=8 maxerr=9.99E-07 time=1.129
After sweep 6 energy=-513.81903  maxlinkdim=8 maxerr=9.99E-07 time=1.193
After sweep 7 energy=-513.82056  maxlinkdim=8 maxerr=9.98E-07 time=1.192
After sweep 8 energy=-513.81665  maxlinkdim=8 maxerr=9.98E-07 time=1.139
After sweep 9 energy=-513.81934  maxlinkdim=8 maxerr=9.99E-07 time=1.205
After sweep 10 energy=-513.81805  maxlinkdim=8 maxerr=9.96E-07 time=1.203
After sweep 11 energy=-513.8191  maxlinkdim=8 maxerr=9.98E-07 time=1.152
After sweep 12 energy=-513.81366  maxlinkdim=8 maxerr=9.97E-07 time=1.207
After sweep 13 energy=-513.8199  maxlinkdim=8 maxerr=1.00E-06 time=1.149
After sweep 14 energy=-513.81946  maxlinkdim=8 maxerr=9.98E-07 time=1.218
After sweep 15 energy=-513.8188  maxlinkdim=8 maxerr=9.98E-07 time=1.159
After sweep 16 energy=-513.81866  maxlinkdim=8 maxerr=9.99E-07 time=1.233
After sweep 17 energy=-513.8181  maxlinkdim=8 maxerr=9.99E-07 time=1.137
After sweep 18 energy=-513.81934  maxlinkdim=8 maxerr=9.97E-07 time=1.212
After sweep 19 energy=-513.8153  maxlinkdim=8 maxerr=9.99E-07 time=1.153
After sweep 20 energy=-513.8185  maxlinkdim=8 maxerr=9.99E-07 time=1.212
E0 = -513.8185
M = 0.00016489856
After sweep 1 energy=-512.7743  maxlinkdim=4 maxerr=9.70E-07 time=1.112
After sweep 2 energy=-513.70544  maxlinkdim=7 maxerr=9.98E-07 time=1.323
After sweep 3 energy=-513.7961  maxlinkdim=7 maxerr=9.93E-07 time=1.184
After sweep 4 energy=-513.8181  maxlinkdim=8 maxerr=9.92E-07 time=1.156
After sweep 5 energy=-513.8184  maxlinkdim=8 maxerr=1.00E-06 time=1.208
After sweep 6 energy=-513.81946  maxlinkdim=8 maxerr=1.00E-06 time=1.198
After sweep 7 energy=-513.8166  maxlinkdim=8 maxerr=1.00E-06 time=1.134
After sweep 8 energy=-513.8176  maxlinkdim=8 maxerr=9.98E-07 time=1.212
After sweep 9 energy=-513.8179  maxlinkdim=8 maxerr=1.00E-06 time=1.214
After sweep 10 energy=-513.81665  maxlinkdim=8 maxerr=9.99E-07 time=1.148
After sweep 11 energy=-513.82074  maxlinkdim=8 maxerr=9.99E-07 time=1.237
After sweep 12 energy=-513.8161  maxlinkdim=8 maxerr=1.00E-06 time=1.167
After sweep 13 energy=-513.81757  maxlinkdim=8 maxerr=9.98E-07 time=1.245
After sweep 14 energy=-513.81696  maxlinkdim=8 maxerr=9.98E-07 time=1.152
After sweep 15 energy=-513.81793  maxlinkdim=8 maxerr=9.99E-07 time=1.248
After sweep 16 energy=-513.8195  maxlinkdim=8 maxerr=9.94E-07 time=1.152
After sweep 17 energy=-513.81757  maxlinkdim=8 maxerr=1.00E-06 time=1.236
After sweep 18 energy=-513.8152  maxlinkdim=8 maxerr=9.97E-07 time=1.187
After sweep 19 energy=-513.8195  maxlinkdim=8 maxerr=9.98E-07 time=1.269
After sweep 20 energy=-513.8192  maxlinkdim=8 maxerr=9.98E-07 time=1.191
E0 = -513.8192
M = 0.00012671169
After sweep 1 energy=-512.5817  maxlinkdim=4 maxerr=9.75E-07 time=1.183
After sweep 2 energy=-513.7088  maxlinkdim=7 maxerr=9.70E-07 time=1.399
After sweep 3 energy=-513.79254  maxlinkdim=7 maxerr=9.87E-07 time=1.207
After sweep 4 energy=-513.8124  maxlinkdim=8 maxerr=9.92E-07 time=1.166
After sweep 5 energy=-513.8154  maxlinkdim=8 maxerr=9.99E-07 time=1.221
After sweep 6 energy=-513.81793  maxlinkdim=8 maxerr=9.99E-07 time=1.217
After sweep 7 energy=-513.8193  maxlinkdim=8 maxerr=1.00E-06 time=1.180
After sweep 8 energy=-513.8189  maxlinkdim=8 maxerr=1.00E-06 time=1.224
After sweep 9 energy=-513.8194  maxlinkdim=8 maxerr=9.97E-07 time=1.228
After sweep 10 energy=-513.8219  maxlinkdim=8 maxerr=1.00E-06 time=1.173
After sweep 11 energy=-513.81726  maxlinkdim=8 maxerr=1.00E-06 time=1.277
After sweep 12 energy=-513.8193  maxlinkdim=8 maxerr=9.97E-07 time=1.201
After sweep 13 energy=-513.8162  maxlinkdim=8 maxerr=1.00E-06 time=1.278
After sweep 14 energy=-513.81665  maxlinkdim=8 maxerr=1.00E-06 time=1.204
After sweep 15 energy=-513.81946  maxlinkdim=8 maxerr=9.98E-07 time=1.288
After sweep 16 energy=-513.8216  maxlinkdim=8 maxerr=9.99E-07 time=1.191
After sweep 17 energy=-513.81586  maxlinkdim=8 maxerr=9.99E-07 time=1.240
After sweep 18 energy=-513.8167  maxlinkdim=8 maxerr=9.96E-07 time=1.162
After sweep 19 energy=-513.8206  maxlinkdim=8 maxerr=9.96E-07 time=1.251
After sweep 20 energy=-513.8211  maxlinkdim=8 maxerr=9.98E-07 time=1.172
E0 = -513.8211
M = 1.1381166e-5
After sweep 1 energy=-512.16095  maxlinkdim=4 maxerr=8.80E-07 time=1.124
After sweep 2 energy=-513.71124  maxlinkdim=8 maxerr=9.97E-07 time=1.369
After sweep 3 energy=-513.7949  maxlinkdim=7 maxerr=9.93E-07 time=1.196
After sweep 4 energy=-513.81525  maxlinkdim=8 maxerr=9.94E-07 time=1.256
After sweep 5 energy=-513.8188  maxlinkdim=8 maxerr=9.99E-07 time=1.165
After sweep 6 energy=-513.8219  maxlinkdim=8 maxerr=1.00E-06 time=1.226
After sweep 7 energy=-513.8149  maxlinkdim=8 maxerr=9.99E-07 time=1.258
After sweep 8 energy=-513.81537  maxlinkdim=8 maxerr=9.99E-07 time=1.196
After sweep 9 energy=-513.8183  maxlinkdim=8 maxerr=9.98E-07 time=1.283
After sweep 10 energy=-513.81744  maxlinkdim=8 maxerr=9.99E-07 time=1.213
After sweep 11 energy=-513.8178  maxlinkdim=8 maxerr=1.00E-06 time=1.292
After sweep 12 energy=-513.81854  maxlinkdim=8 maxerr=9.99E-07 time=1.215
After sweep 13 energy=-513.8169  maxlinkdim=8 maxerr=9.99E-07 time=1.331
After sweep 14 energy=-513.8203  maxlinkdim=8 maxerr=1.00E-06 time=1.212
After sweep 15 energy=-513.8201  maxlinkdim=8 maxerr=9.98E-07 time=1.307
After sweep 16 energy=-513.8191  maxlinkdim=8 maxerr=9.99E-07 time=1.220
After sweep 17 energy=-513.819  maxlinkdim=8 maxerr=9.97E-07 time=1.305
After sweep 18 energy=-513.81995  maxlinkdim=8 maxerr=9.98E-07 time=1.221
After sweep 19 energy=-513.81696  maxlinkdim=8 maxerr=9.98E-07 time=1.320
After sweep 20 energy=-513.821  maxlinkdim=8 maxerr=9.96E-07 time=1.216
E0 = -513.821
M = -0.0002405599
After sweep 1 energy=-512.22  maxlinkdim=4 maxerr=9.85E-07 time=1.192
After sweep 2 energy=-513.7117  maxlinkdim=8 maxerr=9.96E-07 time=1.416
After sweep 3 energy=-513.79565  maxlinkdim=7 maxerr=9.50E-07 time=1.233
After sweep 4 energy=-513.819  maxlinkdim=8 maxerr=9.99E-07 time=1.219
After sweep 5 energy=-513.8207  maxlinkdim=8 maxerr=9.99E-07 time=1.281
After sweep 6 energy=-513.8211  maxlinkdim=8 maxerr=9.99E-07 time=1.238
After sweep 7 energy=-513.8179  maxlinkdim=8 maxerr=1.00E-06 time=1.167
After sweep 8 energy=-513.82153  maxlinkdim=8 maxerr=1.00E-06 time=1.235
After sweep 9 energy=-513.82135  maxlinkdim=8 maxerr=9.97E-07 time=1.235
After sweep 10 energy=-513.8204  maxlinkdim=8 maxerr=1.00E-06 time=1.171
After sweep 11 energy=-513.8182  maxlinkdim=8 maxerr=9.98E-07 time=1.276
After sweep 12 energy=-513.8222  maxlinkdim=8 maxerr=9.97E-07 time=1.170
After sweep 13 energy=-513.82135  maxlinkdim=8 maxerr=9.99E-07 time=1.254
After sweep 14 energy=-513.8179  maxlinkdim=8 maxerr=9.99E-07 time=1.218
After sweep 15 energy=-513.8185  maxlinkdim=8 maxerr=9.99E-07 time=1.295
After sweep 16 energy=-513.8209  maxlinkdim=8 maxerr=9.99E-07 time=1.220
After sweep 17 energy=-513.818  maxlinkdim=8 maxerr=9.99E-07 time=1.308
After sweep 18 energy=-513.82184  maxlinkdim=8 maxerr=9.99E-07 time=1.219
