After sweep 1 energy=-105.61349  maxlinkdim=4 maxerr=0.00E+00 time=22.548
After sweep 2 energy=-120.503654  maxlinkdim=16 maxerr=0.00E+00 time=1.508
After sweep 3 energy=-126.170555  maxlinkdim=64 maxerr=0.00E+00 time=2.644
After sweep 4 energy=-126.971794  maxlinkdim=256 maxerr=0.00E+00 time=7.820
After sweep 5 energy=-127.07757  maxlinkdim=512 maxerr=4.11E-06 time=40.639
After sweep 6 energy=-127.12977  maxlinkdim=512 maxerr=8.15E-06 time=54.422
After sweep 7 energy=-127.152374  maxlinkdim=512 maxerr=6.24E-06 time=54.126
After sweep 8 energy=-127.16074  maxlinkdim=512 maxerr=5.67E-06 time=53.873
After sweep 9 energy=-127.165276  maxlinkdim=512 maxerr=5.50E-06 time=53.630
After sweep 10 energy=-127.166824  maxlinkdim=512 maxerr=4.95E-06 time=53.804
After sweep 11 energy=-127.16881  maxlinkdim=512 maxerr=4.81E-06 time=53.371
After sweep 12 energy=-127.17083  maxlinkdim=512 maxerr=4.74E-06 time=53.349
After sweep 13 energy=-127.171524  maxlinkdim=512 maxerr=4.73E-06 time=53.213
After sweep 14 energy=-127.171234  maxlinkdim=512 maxerr=4.70E-06 time=53.224
After sweep 15 energy=-127.17286  maxlinkdim=512 maxerr=4.70E-06 time=53.160
After sweep 16 energy=-127.17223  maxlinkdim=512 maxerr=4.64E-06 time=53.437
After sweep 17 energy=-127.17357  maxlinkdim=512 maxerr=4.63E-06 time=53.114
After sweep 18 energy=-127.17223  maxlinkdim=512 maxerr=4.61E-06 time=53.064
After sweep 19 energy=-127.17249  maxlinkdim=512 maxerr=4.59E-06 time=53.060
After sweep 20 energy=-127.17375  maxlinkdim=512 maxerr=4.58E-06 time=53.060
E0 = -127.17375
M = 16.000134
After sweep 1 energy=-107.03501  maxlinkdim=4 maxerr=0.00E+00 time=1.345
After sweep 2 energy=-120.62219  maxlinkdim=16 maxerr=0.00E+00 time=1.549
After sweep 3 energy=-126.130135  maxlinkdim=64 maxerr=0.00E+00 time=2.605
After sweep 4 energy=-127.00161  maxlinkdim=256 maxerr=0.00E+00 time=7.604
After sweep 5 energy=-127.10221  maxlinkdim=512 maxerr=3.38E-06 time=39.738
After sweep 6 energy=-127.12251  maxlinkdim=512 maxerr=7.77E-06 time=54.344
After sweep 7 energy=-127.13632  maxlinkdim=512 maxerr=1.19E-05 time=54.275
After sweep 8 energy=-127.14618  maxlinkdim=512 maxerr=1.27E-05 time=54.190
After sweep 9 energy=-127.15196  maxlinkdim=512 maxerr=1.05E-05 time=54.057
After sweep 10 energy=-127.15595  maxlinkdim=512 maxerr=8.13E-06 time=54.179
After sweep 11 energy=-127.15695  maxlinkdim=512 maxerr=6.17E-06 time=53.693
After sweep 12 energy=-127.15774  maxlinkdim=512 maxerr=5.51E-06 time=53.540
After sweep 13 energy=-127.15918  maxlinkdim=512 maxerr=5.22E-06 time=53.424
After sweep 14 energy=-127.15982  maxlinkdim=512 maxerr=5.09E-06 time=53.231
After sweep 15 energy=-127.160866  maxlinkdim=512 maxerr=5.04E-06 time=53.100
After sweep 16 energy=-127.160995  maxlinkdim=512 maxerr=5.01E-06 time=53.294
After sweep 17 energy=-127.162254  maxlinkdim=512 maxerr=5.02E-06 time=52.937
After sweep 18 energy=-127.16211  maxlinkdim=512 maxerr=5.01E-06 time=52.863
After sweep 19 energy=-127.16272  maxlinkdim=512 maxerr=5.01E-06 time=52.901
