After sweep 1 energy=-254.66655  maxlinkdim=4 maxerr=6.73E-07 time=19.607
After sweep 2 energy=-264.461  maxlinkdim=16 maxerr=9.95E-07 time=1.366
After sweep 3 energy=-267.40866  maxlinkdim=46 maxerr=9.99E-07 time=1.563
After sweep 4 energy=-268.67755  maxlinkdim=93 maxerr=1.00E-06 time=1.800
After sweep 5 energy=-269.13974  maxlinkdim=152 maxerr=1.00E-06 time=2.122
After sweep 6 energy=-269.31775  maxlinkdim=231 maxerr=1.00E-06 time=3.029
After sweep 7 energy=-269.3963  maxlinkdim=312 maxerr=1.00E-06 time=4.112
After sweep 8 energy=-269.4322  maxlinkdim=421 maxerr=1.00E-06 time=6.572
After sweep 9 energy=-269.44565  maxlinkdim=512 maxerr=1.44E-06 time=8.784
After sweep 10 energy=-269.45465  maxlinkdim=512 maxerr=3.49E-06 time=11.061
After sweep 11 energy=-269.45566  maxlinkdim=512 maxerr=4.41E-06 time=12.161
After sweep 12 energy=-269.45663  maxlinkdim=512 maxerr=4.84E-06 time=12.500
After sweep 13 energy=-269.4575  maxlinkdim=512 maxerr=6.25E-06 time=12.909
After sweep 14 energy=-269.4624  maxlinkdim=512 maxerr=8.09E-06 time=13.363
After sweep 15 energy=-269.48157  maxlinkdim=512 maxerr=5.83E-06 time=13.870
After sweep 16 energy=-269.48526  maxlinkdim=512 maxerr=3.31E-06 time=14.062
After sweep 17 energy=-269.48758  maxlinkdim=512 maxerr=2.84E-06 time=13.578
After sweep 18 energy=-269.4879  maxlinkdim=512 maxerr=2.56E-06 time=13.556
After sweep 19 energy=-269.49017  maxlinkdim=512 maxerr=2.50E-06 time=13.536
After sweep 20 energy=-269.49008  maxlinkdim=512 maxerr=2.44E-06 time=13.723
E0 = -269.49008
M = 131.99992
After sweep 1 energy=-254.86679  maxlinkdim=4 maxerr=3.03E-07 time=1.080
After sweep 2 energy=-264.57675  maxlinkdim=16 maxerr=9.94E-07 time=1.321
After sweep 3 energy=-267.53445  maxlinkdim=49 maxerr=9.99E-07 time=1.534
After sweep 4 energy=-268.45514  maxlinkdim=88 maxerr=9.99E-07 time=1.832
After sweep 5 energy=-268.88318  maxlinkdim=146 maxerr=1.00E-06 time=2.053
After sweep 6 energy=-269.20847  maxlinkdim=220 maxerr=1.00E-06 time=2.874
After sweep 7 energy=-269.3327  maxlinkdim=312 maxerr=1.00E-06 time=3.909
After sweep 8 energy=-269.41287  maxlinkdim=405 maxerr=1.00E-06 time=6.074
After sweep 9 energy=-269.44504  maxlinkdim=508 maxerr=1.00E-06 time=8.525
After sweep 10 energy=-269.453  maxlinkdim=512 maxerr=2.65E-06 time=10.954
After sweep 11 energy=-269.4554  maxlinkdim=512 maxerr=3.81E-06 time=12.209
After sweep 12 energy=-269.4585  maxlinkdim=512 maxerr=5.70E-06 time=12.662
After sweep 13 energy=-269.4588  maxlinkdim=512 maxerr=7.65E-06 time=13.153
After sweep 14 energy=-269.4726  maxlinkdim=512 maxerr=7.51E-06 time=13.545
After sweep 15 energy=-269.4837  maxlinkdim=512 maxerr=4.36E-06 time=13.710
After sweep 16 energy=-269.48602  maxlinkdim=512 maxerr=3.20E-06 time=14.323
After sweep 17 energy=-269.48773  maxlinkdim=512 maxerr=2.61E-06 time=13.428
After sweep 18 energy=-269.49026  maxlinkdim=512 maxerr=2.47E-06 time=13.375
After sweep 19 energy=-269.4904  maxlinkdim=512 maxerr=2.45E-06 time=13.381
After sweep 20 energy=-269.49203  maxlinkdim=512 maxerr=2.43E-06 time=13.585
E0 = -269.49203
M = 132.00067
After sweep 1 energy=-255.93477  maxlinkdim=4 maxerr=7.74E-07 time=1.187
After sweep 2 energy=-265.37112  maxlinkdim=16 maxerr=9.98E-07 time=1.254
After sweep 3 energy=-267.75055  maxlinkdim=49 maxerr=1.00E-06 time=1.588
After sweep 4 energy=-268.62488  maxlinkdim=100 maxerr=9.99E-07 time=1.807
After sweep 5 energy=-268.99615  maxlinkdim=160 maxerr=1.00E-06 time=2.118
After sweep 6 energy=-269.249  maxlinkdim=227 maxerr=1.00E-06 time=2.956
After sweep 7 energy=-269.3547  maxlinkdim=316 maxerr=1.00E-06 time=3.900
After sweep 8 energy=-269.41367  maxlinkdim=417 maxerr=1.00E-06 time=5.848
After sweep 9 energy=-269.44235  maxlinkdim=494 maxerr=1.00E-06 time=8.204
After sweep 10 energy=-269.4532  maxlinkdim=512 maxerr=2.37E-06 time=10.668
After sweep 11 energy=-269.45483  maxlinkdim=512 maxerr=3.63E-06 time=11.889
After sweep 12 energy=-269.45572  maxlinkdim=512 maxerr=3.95E-06 time=12.187
After sweep 13 energy=-269.45596  maxlinkdim=512 maxerr=4.01E-06 time=12.474
After sweep 14 energy=-269.45535  maxlinkdim=512 maxerr=4.09E-06 time=12.600
After sweep 15 energy=-269.45535  maxlinkdim=512 maxerr=4.16E-06 time=12.678
After sweep 16 energy=-269.45627  maxlinkdim=512 maxerr=4.22E-06 time=13.337
After sweep 17 energy=-269.45544  maxlinkdim=512 maxerr=4.36E-06 time=12.574
After sweep 18 energy=-269.4554  maxlinkdim=512 maxerr=4.40E-06 time=12.603
After sweep 19 energy=-269.45563  maxlinkdim=512 maxerr=4.52E-06 time=12.650
After sweep 20 energy=-269.45654  maxlinkdim=512 maxerr=4.86E-06 time=12.783
E0 = -269.45654
M = 133.84984
After sweep 1 energy=-254.85992  maxlinkdim=4 maxerr=4.02E-07 time=1.108
After sweep 2 energy=-265.30008  maxlinkdim=16 maxerr=1.00E-06 time=1.203
After sweep 3 energy=-267.75128  maxlinkdim=49 maxerr=1.00E-06 time=1.713
After sweep 4 energy=-268.59326  maxlinkdim=95 maxerr=1.00E-06 time=1.828
After sweep 5 energy=-269.04263  maxlinkdim=166 maxerr=1.00E-06 time=2.121
After sweep 6 energy=-269.22632  maxlinkdim=262 maxerr=1.00E-06 time=2.853
After sweep 7 energy=-269.29248  maxlinkdim=372 maxerr=1.00E-06 time=4.139
After sweep 8 energy=-269.3492  maxlinkdim=504 maxerr=1.00E-06 time=6.491
After sweep 9 energy=-269.43417  maxlinkdim=512 maxerr=3.09E-06 time=9.007
After sweep 10 energy=-269.47482  maxlinkdim=512 maxerr=2.94E-06 time=10.667
After sweep 11 energy=-269.48706  maxlinkdim=512 maxerr=2.46E-06 time=12.518
After sweep 12 energy=-269.4873  maxlinkdim=512 maxerr=2.59E-06 time=13.287
After sweep 13 energy=-269.48773  maxlinkdim=512 maxerr=2.43E-06 time=13.557
After sweep 14 energy=-269.48972  maxlinkdim=512 maxerr=2.30E-06 time=13.570
After sweep 15 energy=-269.49  maxlinkdim=512 maxerr=2.28E-06 time=13.600
After sweep 16 energy=-269.49158  maxlinkdim=512 maxerr=2.32E-06 time=14.013
After sweep 17 energy=-269.49277  maxlinkdim=512 maxerr=2.30E-06 time=13.327
After sweep 18 energy=-269.49426  maxlinkdim=512 maxerr=2.27E-06 time=13.297
After sweep 19 energy=-269.4948  maxlinkdim=512 maxerr=2.29E-06 time=13.308
After sweep 20 energy=-269.49402  maxlinkdim=512 maxerr=2.21E-06 time=13.484
