After sweep 1 energy=-151.82974  maxlinkdim=4 maxerr=2.06E-07 time=21.010
After sweep 2 energy=-174.93977  maxlinkdim=16 maxerr=9.95E-07 time=2.212
After sweep 3 energy=-183.56523  maxlinkdim=64 maxerr=1.03E-06 time=2.977
After sweep 4 energy=-185.02403  maxlinkdim=213 maxerr=1.00E-06 time=4.717
After sweep 5 energy=-185.40399  maxlinkdim=512 maxerr=1.43E-06 time=16.069
After sweep 6 energy=-189.07996  maxlinkdim=512 maxerr=8.87E-05 time=35.753
After sweep 7 energy=-190.13179  maxlinkdim=512 maxerr=1.18E-04 time=36.427
After sweep 8 energy=-191.67676  maxlinkdim=512 maxerr=1.25E-04 time=35.801
After sweep 9 energy=-192.27898  maxlinkdim=512 maxerr=5.87E-05 time=36.210
After sweep 10 energy=-192.30713  maxlinkdim=512 maxerr=4.58E-05 time=35.629
After sweep 11 energy=-192.31294  maxlinkdim=512 maxerr=3.96E-05 time=36.131
After sweep 12 energy=-192.31691  maxlinkdim=512 maxerr=3.79E-05 time=35.756
After sweep 13 energy=-192.31848  maxlinkdim=512 maxerr=3.78E-05 time=35.924
After sweep 14 energy=-192.31862  maxlinkdim=512 maxerr=3.85E-05 time=36.162
After sweep 15 energy=-192.32  maxlinkdim=512 maxerr=3.91E-05 time=35.810
After sweep 16 energy=-192.324  maxlinkdim=512 maxerr=3.99E-05 time=36.408
After sweep 17 energy=-192.3323  maxlinkdim=512 maxerr=4.15E-05 time=35.387
After sweep 18 energy=-192.3413  maxlinkdim=512 maxerr=4.75E-05 time=36.394
After sweep 19 energy=-192.35327  maxlinkdim=512 maxerr=4.83E-05 time=35.369
After sweep 20 energy=-192.36308  maxlinkdim=512 maxerr=4.74E-05 time=36.265
E0 = -192.36308
M = -0.12687868
After sweep 1 energy=-150.74974  maxlinkdim=4 maxerr=2.25E-07 time=1.933
After sweep 2 energy=-174.8226  maxlinkdim=16 maxerr=9.89E-07 time=2.006
After sweep 3 energy=-183.56805  maxlinkdim=64 maxerr=1.00E-06 time=3.285
After sweep 4 energy=-185.02715  maxlinkdim=212 maxerr=1.00E-06 time=4.779
After sweep 5 energy=-185.40277  maxlinkdim=512 maxerr=1.36E-06 time=15.703
After sweep 6 energy=-189.10243  maxlinkdim=512 maxerr=8.70E-05 time=34.520
After sweep 7 energy=-189.98196  maxlinkdim=512 maxerr=1.31E-04 time=36.525
After sweep 8 energy=-191.27151  maxlinkdim=512 maxerr=1.18E-04 time=35.681
After sweep 9 energy=-192.26141  maxlinkdim=512 maxerr=5.71E-05 time=36.224
After sweep 10 energy=-192.307  maxlinkdim=512 maxerr=4.38E-05 time=35.487
After sweep 11 energy=-192.31558  maxlinkdim=512 maxerr=3.84E-05 time=36.197
After sweep 12 energy=-192.31674  maxlinkdim=512 maxerr=3.70E-05 time=35.592
After sweep 13 energy=-192.31912  maxlinkdim=512 maxerr=3.73E-05 time=36.146
After sweep 14 energy=-192.31963  maxlinkdim=512 maxerr=3.74E-05 time=35.684
After sweep 15 energy=-192.32123  maxlinkdim=512 maxerr=3.78E-05 time=36.140
After sweep 16 energy=-192.32367  maxlinkdim=512 maxerr=3.84E-05 time=36.038
After sweep 17 energy=-192.33025  maxlinkdim=512 maxerr=3.98E-05 time=35.705
After sweep 18 energy=-192.33855  maxlinkdim=512 maxerr=4.41E-05 time=36.341
After sweep 19 energy=-192.3513  maxlinkdim=512 maxerr=4.66E-05 time=35.324
After sweep 20 energy=-192.36278  maxlinkdim=512 maxerr=4.67E-05 time=36.277
E0 = -192.36278
M = -0.062130168
