After sweep 1 energy=-102.32834  maxlinkdim=4 maxerr=2.57E-07 time=18.625
After sweep 2 energy=-117.81792  maxlinkdim=16 maxerr=2.04E-07 time=1.520
After sweep 3 energy=-127.96581  maxlinkdim=64 maxerr=1.06E-06 time=2.076
After sweep 4 energy=-131.354  maxlinkdim=256 maxerr=6.51E-07 time=4.027
After sweep 5 energy=-132.5252  maxlinkdim=512 maxerr=3.47E-05 time=22.254
After sweep 6 energy=-132.59482  maxlinkdim=512 maxerr=7.38E-05 time=27.797
After sweep 7 energy=-132.60301  maxlinkdim=512 maxerr=7.79E-05 time=28.542
After sweep 8 energy=-132.60568  maxlinkdim=512 maxerr=7.82E-05 time=28.106
After sweep 9 energy=-132.60664  maxlinkdim=512 maxerr=7.86E-05 time=27.893
After sweep 10 energy=-132.60724  maxlinkdim=512 maxerr=7.82E-05 time=28.669
After sweep 11 energy=-132.60812  maxlinkdim=512 maxerr=7.82E-05 time=27.700
After sweep 12 energy=-132.6077  maxlinkdim=512 maxerr=7.83E-05 time=28.076
After sweep 13 energy=-132.60811  maxlinkdim=512 maxerr=7.79E-05 time=28.431
After sweep 14 energy=-132.6079  maxlinkdim=512 maxerr=7.82E-05 time=27.767
After sweep 15 energy=-132.60799  maxlinkdim=512 maxerr=7.82E-05 time=28.403
After sweep 16 energy=-132.60786  maxlinkdim=512 maxerr=7.81E-05 time=28.033
After sweep 17 energy=-132.60808  maxlinkdim=512 maxerr=7.80E-05 time=27.875
After sweep 18 energy=-132.60785  maxlinkdim=512 maxerr=7.81E-05 time=28.637
After sweep 19 energy=-132.60806  maxlinkdim=512 maxerr=7.83E-05 time=27.691
After sweep 20 energy=-132.60797  maxlinkdim=512 maxerr=7.83E-05 time=28.086
E0 = -132.60797
M = -3.373818e-5
After sweep 1 energy=-104.7551  maxlinkdim=4 maxerr=2.19E-07 time=1.269
After sweep 2 energy=-117.66648  maxlinkdim=16 maxerr=2.58E-07 time=1.303
After sweep 3 energy=-127.797844  maxlinkdim=64 maxerr=8.63E-07 time=2.253
After sweep 4 energy=-131.40518  maxlinkdim=256 maxerr=4.76E-07 time=3.831
After sweep 5 energy=-132.31438  maxlinkdim=512 maxerr=3.66E-05 time=22.152
After sweep 6 energy=-132.35982  maxlinkdim=512 maxerr=7.91E-05 time=27.854
After sweep 7 energy=-132.36469  maxlinkdim=512 maxerr=8.56E-05 time=28.544
After sweep 8 energy=-132.36595  maxlinkdim=512 maxerr=8.74E-05 time=28.198
After sweep 9 energy=-132.36674  maxlinkdim=512 maxerr=8.88E-05 time=28.066
After sweep 10 energy=-132.367  maxlinkdim=512 maxerr=8.93E-05 time=28.875
After sweep 11 energy=-132.36769  maxlinkdim=512 maxerr=8.95E-05 time=27.878
After sweep 12 energy=-132.36829  maxlinkdim=512 maxerr=8.97E-05 time=28.308
After sweep 13 energy=-132.36896  maxlinkdim=512 maxerr=9.03E-05 time=28.571
After sweep 14 energy=-132.36852  maxlinkdim=512 maxerr=9.05E-05 time=27.914
