cut	qn_label	before_multiplicity	after_multiplicity	multiplicity_delta	before_schmidt_weight	after_schmidt_weight	schmidt_weight_delta
1	QN("Sz",-1)	30	30	0	0.11729052225037161	0.11647040746575582	-0.0008201147846157858
1	QN("Sz",-3)	12	12	0	0.0035030424509372299	0.0034494356770852302	-5.3606773851999721e-05
1	QN("Sz",-5)	1	1	0	2.1866862798959838e-05	2.1671965131460458e-05	-1.9489766749937985e-07
1	QN("Sz",1)	41	41	0	0.75376393453648916	0.75348677046597667	-0.00027716407051248115
1	QN("Sz",3)	31	31	0	0.12163356224331875	0.12272652860698353	0.0010929663636647796
1	QN("Sz",5)	12	12	0	0.0037642846128507403	0.0038222147336331499	5.7930120782409555e-05
1	QN("Sz",7)	1	1	0	2.278704323361919e-05	2.2971085433911262e-05	1.8404220029207225e-07
2	QN("Sz",-2)	21	21	0	0.021806732752343974	0.021391825949140745	-0.00041490680320322923
2	QN("Sz",-4)	7	7	0	0.00051751862299264371	0.00050613036577290733	-1.1388257219736376e-05
2	QN("Sz",-6)	1	1	0	5.3267408588170255e-07	5.1085762012983422e-07	-2.1816465751868327e-08
2	QN("Sz",0)	35	35	0	0.46614374833250599	0.46154836019669482	-0.0045953881358111737
2	QN("Sz",2)	35	35	0	0.48696683868696589	0.4914369056289718	0.0044700669420059125
2	QN("Sz",4)	21	21	0	0.023992613589622163	0.024533421220826641	0.00054080763120447836
2	QN("Sz",6)	7	7	0	0.0005713511268038014	0.00058214388858203307	1.0792761778231669e-05
2	QN("Sz",8)	1	1	0	6.6421467968993176e-07	7.0189239083495249e-07	3.7677711145020735e-08
