cut	qn_label	before_multiplicity	after_multiplicity	multiplicity_delta	before_schmidt_weight	after_schmidt_weight	schmidt_weight_delta
1	QN("Sz",-1)	30	46	16	0.11622043738208046	0.12961651006338051	0.013396072681300053
1	QN("Sz",-3)	12	18	6	0.0034346335216868871	0.0046231344310513588	0.0011885009093644716
1	QN("Sz",-5)	1	3	2	2.1619304974792952e-05	3.1557805201488882e-05	9.9385002266959303e-06
1	QN("Sz",1)	41	59	18	0.7534423570031038	0.7372754687417854	-0.016166888261318402
1	QN("Sz",3)	31	45	14	0.12301858980975759	0.12412347090604695	0.0011048810962893535
1	QN("Sz",5)	12	18	6	0.0038393370703914331	0.0042995781524458425	0.0004602410820544094
1	QN("Sz",7)	1	3	2	2.3025908005083761e-05	3.0279900088447612e-05	7.2539920833638512e-06
2	QN("Sz",-2)	21	32	11	0.0212689189379347	0.027012890073856891	0.0057439711359221907
2	QN("Sz",-4)	7	7	0	0.00050308690342192161	0.00071899612479175729	0.00021590922136983568
2	QN("Sz",-6)	1	1	0	5.0410588008644534e-07	1.0718547887936741e-06	5.6774890870722872e-07
2	QN("Sz",0)	35	56	21	0.46024204423507975	0.48264156699177446	0.022399522756694712
2	QN("Sz",2)	35	56	21	0.49271694892020873	0.46443445375419506	-0.028282495166013666
2	QN("Sz",4)	21	32	11	0.024682311045765935	0.02452861397092326	-0.00015369707484267497
2	QN("Sz",6)	7	7	0	0.00058547371481281732	0.00066148727774507151	7.6013562932254189e-05
2	QN("Sz",8)	1	1	0	7.1213689604922726e-07	9.1995192457608063e-07	2.0781502852685336e-07
