cut	qn_label	before_multiplicity	after_multiplicity	multiplicity_delta	before_schmidt_weight	after_schmidt_weight	schmidt_weight_delta
1	QN("Sz",-1)	117	117	0	0.13994363802118356	0.14271151303658661	0.0027678750154030429
1	QN("Sz",-3)	52	52	0	0.0062922270284758563	0.0063209665129718897	2.8739484496033418e-05
1	QN("Sz",-5)	10	10	0	7.0774521481924927e-05	7.16819300523709e-05	9.0740857044597253e-07
1	QN("Sz",-7)	1	1	0	2.1993447790192531e-07	2.1112962958468052e-07	-8.8048483172447915e-09
1	QN("Sz",1)	152	152	0	0.70738816236784141	0.70433826815804368	-0.0030498942097977322
1	QN("Sz",3)	117	117	0	0.13994187669706032	0.14029822364089697	0.00035634694383665511
1	QN("Sz",5)	52	52	0	0.0062921054026546979	0.0061888946595811756	-0.00010321074307352227
1	QN("Sz",7)	10	10	0	7.0776194462754928e-05	7.003341389988378e-05	-7.427805628711483e-07
1	QN("Sz",9)	1	1	0	2.1983236161910916e-07	2.0751833801633363e-07	-1.231402360277553e-08
2	QN("Sz",-2)	84	84	0	0.031086735001603319	0.031822759520011693	0.00073602451840837357
2	QN("Sz",-4)	36	36	0	0.0010281153324660233	0.001019227024160599	-8.8883083054242407e-06
2	QN("Sz",-6)	9	9	0	3.2740570529491527e-06	3.4601653351881443e-06	1.861082822389916e-07
2	QN("Sz",-8)	1	1	0	3.0732176226179477e-09	2.9194763510812872e-09	-1.5374127153666046e-10
2	QN("Sz",0)	126	126	0	0.46788402842750632	0.46957071005447998	0.0016866816269736629
2	QN("Sz",10)	1	1	0	3.0723083318383981e-09	2.851621684267803e-09	-2.2068664757059511e-10
2	QN("Sz",2)	126	126	0	0.46788045767564412	0.46565367766753502	-0.0022267800081091083
2	QN("Sz",4)	84	84	0	0.031086005506122786	0.030923636943269744	-0.00016236856285304149
2	QN("Sz",6)	36	36	0	0.0010281049427370615	0.0010032280689194451	-2.487687381761642e-05
2	QN("Sz",8)	9	9	0	3.2729113415330793e-06	3.29478519037535e-06	2.1873848842270669e-08
